isotope,intensity,wavelength
gold,14,1646.674
gold,20,1699.339
gold,1000,2012
gold,250,2021.38
gold,250,2427.95
gold,300,2675.954
gold,100,2748.253
gold,30,3029.204
gold,150,3122.784
gold,50,6278.17
neon,170,615.6283
neon,170,618.6716
neon,130,619.1023
neon,200,626.8232
neon,200,629.7388
neon,1000,735.8962
neon,400,743.7195
neon,100,3520.4711
neon,200,5400.5618
neon,200,5852.4879
neon,100,6029.9969
neon,100,6074.3377
neon,100,6143.0626
neon,100,6163.5939
neon,100,6217.2812
neon,100,6266.495
neon,100,6382.9917
neon,200,6402.248
neon,150,6506.5281
neon,100,6598.9529
neon,1000,6929.4673
neon,800,7032.4131
neon,800,7173.9381
neon,800,7245.1666
neon,800,8377.608
neon,600,8654.3831
neon,600,8780.6226
neon,400,8783.7533
neon,300,11143.02
neon,500,11177.524
neon,300,11522.7459
cobalt,250,2407.256
cobalt,250,2411.624
cobalt,200,2424.935
cobalt,200,2521.365
cobalt,500,3405.118
cobalt,400,3443.645
cobalt,1000,3453.51
cobalt,500,3473.974
cobalt,300,3474.042
cobalt,300,3502.28
cobalt,400,3526.85
germanium,120,1988.267
germanium,200,1998.887
germanium,700,2019.068
germanium,900,2041.712
germanium,600,2043.77
germanium,1000,2068.656
germanium,800,2094.258
germanium,130,2198.714
germanium,200,2592.534
germanium,500,2651.172
germanium,200,2651.568
germanium,200,2691.341
germanium,300,2709.624
germanium,250,2754.588
germanium,300,3039.067
germanium,40,3269.489
germanium,500,12069.2
germanium,400,12391.58
gadolinium,400,3684.13
gadolinium,400,3713.57
gadolinium,400,3717.48
gadolinium,600,3783.05
gadolinium,500,4053.64
gadolinium,500,4058.22
gadolinium,600,4078.7
gadolinium,500,4175.54
gadolinium,500,4190.78
gadolinium,1000,4225.85
gadolinium,400,4313.84
gadolinium,400,4327.12
gadolinium,500,4346.46
gadolinium,300,4401.86
gadolinium,300,4422.41
gadolinium,250,4430.63
gadolinium,250,4519.66
gadolinium,200,5103.45
gadolinium,200,5155.84
zinc,1000,2138.5735
zinc,20,2800.8635
zinc,25,2801.05
zinc,60,3075.8971
zinc,50,3282.3256
zinc,200,3302.5829
zinc,70,3302.9395
zinc,400,3345.0134
zinc,80,3345.5694
zinc,15,3345.9353
zinc,100,4680.1359
zinc,250,4722.1569
zinc,400,4810.5321
zinc,30,6362.3458
neodymium,600,4621.94
neodymium,1000,4634.24
neodymium,700,4641.1
neodymium,600,4649.67
neodymium,600,4683.45
neodymium,500,4719.02
neodymium,700,4883.81
neodymium,500,4896.93
neodymium,900,4924.53
neodymium,500,4944.83
neodymium,600,4954.78
sodium,5,2852.81
sodium,2,2853.01
sodium,15,3302.37
sodium,8,3302.98
sodium,1000,5889.95
sodium,500,5895.924
sodium,60,8183.256
sodium,10,8194.79
sodium,110,8194.824
sodium,5,11381.45
sodium,12,11403.78
sodium,5,18465.25
selenium,600,1960.894
selenium,150,1995.111
selenium,600,2039.842
selenium,400,2062.779
selenium,600,2074.784
selenium,600,2164.188
selenium,700,2413.535
selenium,600,4730.78
selenium,1000,10327.26
selenium,700,10386.36
selenium,800,21442.56
technetium,300,3173.3
technetium,200,3182.37
technetium,200,3183.11
technetium,500,3466.28
technetium,1000,3636.07
technetium,800,3718.86
technetium,500,3984.97
technetium,1000,4031.63
technetium,700,4095.67
technetium,500,4238.19
technetium,800,4262.27
technetium,1000,4297.06
technetium,800,4853.59
sulfur,1000,1425.03
sulfur,600,1433.28
sulfur,200,1433.31
sulfur,1000,1473.995
sulfur,900,1666.688
sulfur,800,1687.53
sulfur,1000,1807.311
sulfur,900,1820.343
sulfur,800,1826.245
sulfur,150,9212.865
sulfur,100,9228.092
sulfur,80,9237.538
sulfur,200,10455.451
sulfur,30,10456.757
sulfur,130,10459.406
beryllium,100,1661.478
beryllium,1000,2348.61
beryllium,100,2494.728
beryllium,100,2650.454
beryllium,60,2650.55
beryllium,60,2650.613
beryllium,100,2650.619
beryllium,100,2650.694
